ACTR5	607
RUVBL2	463
RUVBL1	456
INO80C	192
ACTR8	624
CCT2	535
CCT5	541
ACTL6A	429
CCT3	544
STK38	465
ACTB	375
HSPA1B	641
CCT7	543
INO80B	343
INO80E	244
CCT8	548
NFRKB	1324
HSPA8	646
TUBB2B	445
TUBB2C	445
TUBB	444
CCT6A	531
HIST1H1C	213
HIST1H1E	219
DYNLL1	89
ACTA1	377
MATR3	847
MCRS1	462
YY1	414
NPM1	294
HIST1H2BJ	126
UCHL5	329
H2AFZ	128
EIF4B	611
INO80D	878
TCP1	556
NONO	471
CCT4	539
TUBB6	446
NPM3	178
BCLAF1	920
TFPT	253
ERH	104
RBM10	930
PRPF31	499
H1FX	213
HMGB2	209
SFPQ	707
HNRNPL	589
SPIN1	247
HNRNPA1	372
HSPA2	639
PARP1	1014
HSPD1	573
MOBKL1A	216
THRAP3	955
HSPA6	643
HSPA1L	641
DNAJA1	397
FBL	321
HNRNPH1	449
HNRNPH2	449
TUBB3	450
SFRS2	221
TUBA1C	449
TUBA8	449
TUBA1B	451
TUBA1A	451
TUBA4A	448
C11orf84	381
MAP1B	2468
HNRNPK	463
CLASP2	1506
SF3A1	793
NOP58	529
SNRNP40	357
HNRNPA2B1	353
NOLC1	699
DDX3X	662
CHERP	884
PSIP1	530
KHDRBS1	443
EEF1A1	462
EEF1A2	463
VIM	466
WDR18	432
KIF11	1056
ACTN4	911
ACTN1	892
RCC2	522
E2F7	911
DDX5	614
STK38L	464
HNRNPF	415
EEF2	858
HSPA5	654
DDX21	783
FLNA	2647
SMARCC1	1105
HNRNPU	825
DDX17	729
RIF1	2472
SMC1A	1233
DHX9	1279
SPTBN1	2364
CHD4	1912
CHD3	1966
SRRM2	2752
PRKDC	4128
RPLP2	115
BASP1	227
SNRPE	92
RPLP1	114
SNRPD2	118
GNAI2	355
SNRPA1	255
RPS15	145
RPS17	135
SNRPD1	119
GNB1	340
GNB2	340
RPLP0	317
HIST1H4J	103
YWHAE	255
RPL23	140
LSM2	95
HSPA9	679
RPL22	128
RPS14	151
CBX1	185
RPS11	158
DPY30	99
RPS3	243
RPL12	165
CALM2	149
RCN1	331
RPS23	143
FLOT1	427
GNG12	72
GNAI3	354
MYL6	151
GAPDH	335
RPL37A	92
C1QBP	282
BSG	205
NHP2L1	128
RPS16	146
PRDX3	238
BAG2	211
SSB	408
RCN2	317
RPL7	248
RPS24	130
RPS5	204
RPL5	297
ACTR6	396
MYL12B	172
TUFM	455
CALU	315
PRMT5	637
RPS4X	263
WDR77	342
ENO1	434
RPS12	132
RPL4	427
RPL6	288
H2AFX	143
MYH10	1976
RPS8	208
NCBP1	790
HIST1H2AD	130
HIST2H2AC	129
CLTC	1675
RPS13	151
ATP5A1	553
SNRPD3	126
SPTLC1	143
HNRNPM	730
GNAI1	354
PDCD6	191
BRIX1	353
YBX1	324
